Date,Customer_ID,Age,Gender,Income,Spending_Score,Credit_Score,Loan_Amount,Previous_Defaults,Marketing_Spend,Purchase_Frequency,Seasonality,Sales,Customer_Churn,Defaulted
12/04/2024,1,56,Female,142418.0,7,391.0,8083,1,15376,3,Low,32526,0,0
21/02/2024,2,69,Male,63088.0,82,652.0,34328,2,6889,6,Low,78493,0,0
02/04/2024,3,46,Male,136868.0,91,662.0,47891,2,6054,29,Medium,57198,1,0
15/01/2024,4,32,Female,85375.5,34,644.0,25103,2,4868,8,Medium,48395,0,0
16/04/2024,5,60,Male,59811.0,91,469.0,44891,1,17585,12,High,29031,1,0
12/03/2024,6,25,Male,134825.0,17,655.0,15754,1,19881,13,Low,80542,0,0
01/03/2024,7,38,Female,75479.0,43,490.0,39447,1,2842,11,Medium,42701,1,1
21/01/2024,8,56,Male,85375.5,59,721.0,20901,2,11058,12,Medium,30939,1,0
12/04/2024,9,36,Male,107369.0,51,306.0,38004,1,10101,1,Medium,54145,0,0
23/03/2024,10,40,Male,137520.0,54,432.0,12446,0,13497,17,Medium,25324,0,1
27/03/2024,11,28,Female,39963.0,24,330.0,42211,0,5658,16,Medium,27867,0,0
15/03/2024,12,28,Female,75123.0,25,834.0,29817,1,12381,11,Low,5203,0,1
15/03/2024,13,41,Female,145911.0,71,725.0,31116,0,8544,13,Low,21544,0,1
28/03/2024,14,53,Male,122468.0,52,693.0,46323,0,8718,18,Low,20899,0,0
26/04/2024,15,57,Male,112705.0,70,588.5,23752,2,14851,11,Low,34063,0,0
09/04/2024,16,41,Female,93477.0,88,736.0,37376,1,18154,28,High,95880,0,0
13/04/2024,17,20,Male,34388.0,33,381.0,21669,1,12777,12,Low,8748,1,1
24/01/2024,18,39,Male,25569.0,49,655.0,37916,2,2628,6,Medium,71629,0,0
03/01/2024,19,19,Female,89836.0,29,557.0,29817,0,1386,9,Low,85764,0,0
22/01/2024,20,41,Female,124573.0,63,823.0,25421,0,7031,16,High,25884,0,1
22/02/2024,21,61,Male,56586.0,22,594.0,31342,1,7439,4,Medium,30183,1,1
02/01/2024,22,47,Male,147018.0,26,588.5,9895,0,14392,3,Low,86570,0,1
28/03/2024,23,55,Male,32015.0,28,588.5,29817,2,19850,28,Low,76246,0,0
17/04/2024,24,19,Female,65002.0,85,588.5,15699,2,3282,16,Low,24259,0,1
30/01/2024,25,38,Female,136594.0,49,412.0,14715,1,2856,24,Medium,40959,0,0
07/02/2024,26,50,Female,26254.0,71,532.0,24169,2,16670,27,Medium,38457,0,1
02/01/2024,27,29,Female,37144.0,81,316.0,21163,2,2998,26,High,90679,1,0
04/03/2024,28,39,Male,44214.0,84,659.0,10782,1,6476,25,Medium,7103,1,0
29/02/2024,29,61,Female,85375.5,49,588.5,27641,2,10428,12,Medium,70901,0,0
21/01/2024,30,42,Female,100719.0,20,747.0,29817,2,5669,11,Low,49535,1,0
02/02/2024,31,66,Female,91774.0,86,588.5,40585,2,13336,5,Medium,21103,0,0
16/03/2024,32,44,Female,26090.0,92,625.0,29817,0,10342,25,Low,95012,0,0
27/02/2024,33,59,Female,31637.0,63,766.0,29817,1,8064,18,Low,83278,1,0
22/01/2024,34,45,Male,42415.0,61,713.0,43067,1,8446,19,Medium,17391,0,0
17/04/2024,35,33,Male,44071.0,49,588.5,47685,1,18815,23,High,33901,1,1
29/03/2024,36,32,Female,78243.0,71,532.0,23073,0,6624,23,High,86159,0,0
18/02/2024,37,64,Male,130951.0,1,523.0,41035,0,8461,6,Medium,72914,0,0
31/03/2024,38,68,Female,85375.5,96,711.0,42174,1,2819,22,High,55357,0,0
28/02/2024,39,61,Female,85375.5,13,634.0,29837,0,11516,18,Low,91908,0,0
11/02/2024,40,69,Male,61240.0,94,521.0,22826,1,14749,26,Low,43437,0,0
01/04/2024,41,20,Male,146146.0,87,336.0,29817,0,18514,6,Medium,40503,1,0
29/02/2024,42,54,Female,103807.0,51,577.0,15382,2,3658,4,High,98459,0,0
20/03/2024,43,68,Female,121570.0,56,495.0,9437,2,4500,12,High,80403,1,1
15/01/2024,44,24,Female,53434.0,83,783.0,10435,1,3120,19,Low,46258,1,1
02/03/2024,45,38,Male,89724.0,62,541.0,29819,0,5020,29,Medium,38724,0,0
02/03/2024,46,26,Female,135359.0,32,588.5,41875,0,11213,27,High,69286,0,1
16/02/2024,47,56,Female,95697.0,30,491.0,36982,2,4259,29,Medium,79842,0,0
